Name,Mass (MJ),Radius (RJ),Distance (ly)
Kepler-606b,0.295,24.31575992,
Kepler-607b,0.078,0.6381632,
Kepler-608b,0.325,6.41251504,
Kepler-609b,0.299,6.52121067,
Kepler-610b,0.374,6.99692655,
Kepler-610c,0.294,151.86392,
Kepler-611b,0.147,2.4370333,
Kepler-612b,0.253,3.72215641,
Kepler-613b,0.204,15.77979614,
Kepler-614b,0.213,14.03491514,
Kepler-615b,0.155,10.35584657,
Kepler-616b,0.217,9.99761851,
Kepler-616c,0.304,90.4113556,
Kepler-617b,0.118,1.68269615,
Kepler-618b,0.232,3.59576964,
Kepler-619b,0.282,5.4042722,
Kepler-619c,0.151,1.20846503,
Kepler-620b,0.296,12.91375431,
Kepler-621b,0.205,2.62811375,
Kepler-622b,0.19,14.28226676,
Kepler-623b,0.269,9.07097734,
Kepler-624b,0.206,14.58649607,
Kepler-625b,0.178,7.75192492,
Kepler-625c,0.094,4.1653651,
Kepler-626b,0.204,14.48585199,
Kepler-627b,0.333,40.6994443,
Kepler-628b,0.749,15.4580567,
Kepler-629b,0.123,7.2385854,
Kepler-630b,0.284,161.4743937,
Kepler-631b,0.259,17.97979059,
Kepler-632b,0.197,30.99660733,
Kepler-633b,0.145,8.50340718,
Kepler-634b,0.169,5.16950177,
Kepler-635b,0.236,23.44971004,
Kepler-636b,0.397,16.08066115,
Kepler-637b,0.424,23.20584623,
Kepler-638b,0.163,6.07972888,
Kepler-639b,0.212,10.21420496,
Kepler-640b,0.228,22.24813967,
Kepler-641b,0.165,9.48961571,
Kepler-642b,0.259,4.41745855,
Kepler-643b,0.906,16.33889626,
Kepler-644b,0.281,3.1739171,
Kepler-645b,0.187,3.27582262,
Kepler-646b,0.178,15.87364565,
Kepler-647b,0.104,16.2254649,
Kepler-648b,0.287,17.4211749,
Kepler-649b,0.202,29.90722674,
Kepler-650b,0.264,3.03214559,
Kepler-651b,0.211,21.38521506,
Kepler-652b,0.222,4.18200253,
Kepler-653b,0.174,14.70748976,
Kepler-653c,0.07,0.90037648,
Kepler-654b,0.185,13.72465129,
Kepler-655b,0.242,46.4063358,
Kepler-656b,0.278,1.26025909,
Kepler-657b,0.314,24.54350418,
Kepler-658b,0.145,1.28707676,
Kepler-659b,0.223,17.671796,
Kepler-660b,0.229,9.27358194,
Kepler-661b,0.274,6.02930132,
Kepler-662b,0.194,21.67697486,
Kepler-663b,0.232,4.99678284,
Kepler-664b,0.237,2.52559332,
Kepler-665b,0.232,16.01310205,
Kepler-666b,0.214,4.49876092,
Kepler-667b,0.422,41.43962808,
Kepler-668b,0.241,8.35390639,
Kepler-669b,0.431,4.12554687,
Kepler-670b,1.176,2.81650485,
Kepler-671b,0.24,4.28095859,
Kepler-672b,0.223,38.3774623,
Kepler-673b,0.583,3.72873109,
Kepler-674b,0.151,2.24338185,
Kepler-675b,0.218,2.33743801,
Kepler-676b,0.271,11.59822172,
Kepler-677b,0.48,6.57531678,
Kepler-678b,0.459,7.27503724,
Kepler-679b,0.269,12.39358604,
Kepler-680b,0.216,3.68992629,
Kepler-681b,0.275,26.39435646,
Kepler-682b,0.658,12.61190667,
Kepler-683b,0.176,2.53918318,
Kepler-684b,0.3,6.77030201,
Kepler-685b,0.944,1.6255222,
Kepler-686b,1.084,1.59474546,
Kepler-687b,0.314,20.50586978,
Kepler-688b,0.871,3.89593684,
Kepler-689b,0.258,22.36656079,
Kepler-690b,0.531,7.74809437,
Kepler-691b,0.186,8.114379,
Kepler-692b,0.277,21.81293494,
Kepler-693b,0.908,15.37563332,
Kepler-694b,0.25,6.36584161,
Kepler-695b,0.822,3.04033042,
Kepler-696b,0.548,4.19042557,
Kepler-697b,0.368,3.70987065,
Kepler-698b,0.328,16.32976218,
Kepler-699b,1.259,27.80756293,
Kepler-700b,0.534,80.8720639,
Kepler-701b,0.253,10.35533177,
Kepler-702b,0.818,10.52629406,
Kepler-703b,0.732,4.58352176,
Kepler-704b,0.233,3.76182115,
Kepler-705b,0.188,56.0560538,
Kepler-706b,1.175,41.40831347,
Kepler-707b,0.119,2.23749275,
Kepler-708b,0.261,3.16789194,
Kepler-709b,0.261,16.08524954,
